	line	person	fief	title
199	9486		廬陵	王
200	9490		江夏	王
201	9517		之	王
202	9528		南豐縣	王
203	9529		安陸	王
204	9529		江夏	王
205	9529		江夏	王
206	9530		新吳縣	侯
207	9532		永脩縣	侯
208	9532		永陽縣	侯
209	9535		衡陽	王
210	9588		新建縣	侯
211	9598		豫寧縣	侯
212	9613		寧新縣	男
213	9642		龍陽縣五等	子
214	9699		邵陽縣	男
215	9740		康樂	公
216	9841		彭城	王
217	9854		泉陵縣	侯
218	9858		竟陵	王
219	9858		南譙	王
220	9861		南郡	王
221	9861		次	子
222	9861		汝南縣	侯
223	9861	次子宜陽侯愷	南譙	王
224	9879		宜陽縣	侯
225	9879		臨武縣	侯
226	9879		湘南縣	侯
227	9879		祁陽縣	侯
228	9880		益陽縣	侯
229	9881		祁陽縣	子
230	9886		安眾縣五等	男
231	9897		武興縣五等	侯
232	9950		枝江縣	侯
233	9970		豫寧縣	侯
234	9989		南安縣	侯
235	9989		孝武帝第十八	子
236	9989	孝武帝第十八子臨賀王子產字孝仁	南平	王
237	9993		建平	王
238	10003		長沙成	王
239	10003		筑陽縣	侯
240	10017		王	子
241	10021		義陽	王
242	10022	懷遠	池陽縣	侯
243	10025		陰安縣	侯
244	10043		始興	王
245	10043		江夏	王
246	10047		山陽	王
247	10048		晉平	王
248	10051		原豐縣	侯
249	10055		鄱陽	王
250	10059		東平	王
251	10068		巴陵	王
252	10130		始興縣五等	侯
253	10138		開國縣	侯
254	10140		開國	子
255	10141		始興郡	公
256	10158		南平縣	男
257	10161		霄城縣	侯
258	10161		南陽郡	公
259	10162		廣陵	侯
260	10177		平洛縣五等	侯
261	10179		東興縣	侯
262	10183		貞陽縣	公
263	10204		三千戶縣	公
264	10245		寧陵縣五等	侯
265	10253		建城縣	侯
266	10273		南昌縣	侯
267	10282		洮陽	侯
268	10290		曲江縣	侯
269	10316		晉安郡	公
270	10316		巴東郡	公
271	10321		宜陽	侯
272	10324		西陵	男
273	10324		開國縣	侯
274	10329		樂安縣	伯
275	10350		南昌縣	公
276	10351		始興郡	公
277	10357		次	子
278	10357		永陽縣	侯
279	10358		蒼梧郡	公
280	10360		吳興縣	子
281	10368		陽縣	侯
282	10390		東昌縣	侯
283	10401		廣陵	王
284	10402		隨郡	王
285	10403		竟陵	王
286	10403		陽新縣	侯
287	10423		周滿山陽縣	侯
288	10429		東海	王
289	10429		廬江	王
290	10441		汝陰	王
291	10447		海陵	王
292	10448		冠軍縣	侯
293	10453		順陽	王
294	10453		桂陽	王
295	10470		西陽	王
296	10470		豫章	王
297	10476		晉安	王
298	10482		尋陽	王
299	10489		歷陽	王
300	10489		臨海	王
301	10494		襄陽	王
302	10494		新安	王
303	10504		永嘉	王
304	10509		始安	王
305	10513		邵陵	王
306	10519		淮南	王
307	10519		安成	王
308	10523		淮南	王
309	10523		安成	王
310	10526		晉陵	王
311	10530		南海	王
312	10537		東平	王
313	10540		智隨武陵	王
314	10550		康樂縣	侯
315	10559		永新縣五等	侯
316	10638		筑陽縣	子
317	10639		始安縣	子
318	10645		平都縣	男
319	10649		開國縣	男
320	10649		綏安縣	侯
321	10652		遷陵縣	侯
322	10655		平陽縣	侯
323	10658		新市縣	子
324	10664		竟陵縣	侯
325	10664		東興縣	侯
326	10684		葛陽縣	男
327	10686		長壽縣	男
328	10687		安陸郡	公
329	10692		葛陽縣	男
330	10694		廣晉縣	子
331	10694		孱陵縣	侯
332	10695		贛縣	男
333	10696		樂安縣	男
334	10738		南平郡作唐縣開國	侯
335	10738		武陵郡遷陵縣開國	侯
336	10739		武當縣	侯
337	10739		河隆縣	子
338	10739		上饒縣	男
339	10739		綏城縣	男
340	10739		永豐縣	男
341	10747		新淦縣	子
342	10747		吳平縣	子
343	10815		建陵縣五等	子
344	10819		江安縣	侯
345	10831		吉陽縣	男
346	10840		秭歸縣	侯
347	10844		大亭	侯
348	10844		金城縣五等	侯
349	10845		鄱陽縣	侯
350	10846		含洭縣	男
351	10861		封陽縣	侯
352	10874		建興縣	侯
353	10876		千戶縣	侯
354	10889		艾縣	侯
355	10896		南鄉縣	男
356	10901		武昌縣	侯
357	10902		武安縣	男
358	10916		新城縣	侯
359	10926		興平縣	子
360	10943		邵陵	王
361	10947		南陽	王
362	10947		隨陽	王
363	10947		舞陰縣	公
364	10951		新興	王
365	10951		定襄縣	公
366	10955		始建	王
367	10955		荔浦縣	公
368	11022		關中	侯
369	11054		華容縣五等	男
370	11059		慧度龍編縣	侯
371	11218		法興吳昌縣	男
372	11223		邵陵縣	男
373	11244		吳平縣	子
374	11252		應城縣	侯
375	11253		攸縣	子
376	11257		安浦縣	侯
377	11269		南城縣	子
378	11270		廣晉縣	男
379	11275	盧	代郡	公
380	11289		建陵縣	男
381	11292		觀陽縣	男
382	11347		陽縣開國	侯
383	11354		八千戶開國縣	公
384	11354		四百戶開國縣	侯
385	11375		昌黎	公
386	11379		河南	王
387	11391		雲杜縣	子
388	11440		新安	王
389	11473		益之邊城縣	王
390	11473		高山	侯
391	11478		初天水	公
392	11479		武都	王
393	11487		武都	王
394	11490		武都	王
395	11490		武都	王
396	11493		狄地	王
397	11536		鍾山郡	王
398	11541		始興	王
399	11549		高禽新陽縣	男
400	11554		竹邑	侯
401	11557		列	侯
402	11563		繁畤縣五等	侯
403	11576		營道縣五等	侯
404	11588		資中縣五等	侯
405	11595		漢壽縣	伯
