	line	appoint-verb	general	jiangjun
221	8806	加	寧遠	將軍
222	8806	進號	建武	將軍
223	8806	遷	龍驤	將軍
224	8806	加	龍驤	將軍
225	8806	遷	驍騎	將軍
226	8806	加	寧朔	將軍
227	8807	進號	寧朔	將軍
228	8807	起為	冠軍	將軍
229	8807	進號	左	將軍
230	8807	追贈	安南	將軍
231	8811	加	寧遠	將軍
232	8811	遷	建武	將軍
233	8812	轉	游擊	將軍
234	8812	遷	冠軍	將軍
235	8812	追贈	前	將軍
236	8818	加	輔國	將軍
237	8818	進號	平北	將軍
238	8818	遷	護軍	將軍
239	8820	加	振威	將軍
240	8820	加	建威	將軍
241	8820	轉	右軍	將軍
242	8820	起為	輔國	將軍
243	8820	領	軍	將軍
244	8822	追贈	冠軍	將軍
245	8823	加	龍驤	將軍
246	8823	遷	左衞	將軍
247	8824	歷	驍騎	將軍
248	8828	加	建武	將軍
249	8828	轉	游擊	將軍
250	8829	遷	建威	將軍
251	8829	起	粹為寧朔	將軍
252	8829	進號	輔國	將軍
253	8829	遷	左衞	將軍
254	8831	追贈	安北	將軍
255	8833	遷	振武	將軍
256	8847	拜	鎮軍	將軍
257	8847	領	軍	將軍
258	8849	徵為	領軍	將軍
259	8860	進號	安北	將軍
260	8861	進號	鎮北大	將軍
261	8871	進號	安北	將軍
262	8872	進號	鎮北大	將軍
263	8880	轉	征虜	將軍
264	8891	加	冠軍	將軍
265	8901	追贈	左	將軍
266	8911	出為	寧朔	將軍
267	8911	轉	輔國	將軍
268	8912	追贈	平南	將軍
269	8913	加	寧遠	將軍
270	8913	除	建威	將軍
271	8914	加	龍驤	將軍
272	8919	進號	後	將軍
273	8919	加	寧朔	將軍
274	8921	進號	輔國	將軍
275	8925	遷	建威	將軍
276	8927	除	冠軍	將軍
277	8930	加	冠軍	將軍
278	8931	轉	左衞	將軍
279	8934	進號	右	將軍
280	8938	加	振武	將軍
281	8938	除	龍驤	將軍
282	8938	加	寧朔	將軍
283	8939	加	輔國	將軍
284	8939	遷	右衞	將軍
285	8939	出為	輔國	將軍
286	8939	進號	征虜	將軍
287	8940	進號	右	將軍
288	8941	領	軍	將軍
289	8948	加	寧遠	將軍
290	8955	進號	輔國	將軍
291	8956	加	冠軍	將軍
292	8956	遷	左	將軍
293	8967	除	驍騎	將軍
294	8967	加	寧朔	將軍
295	8967	遷	右衞	將軍
296	8969	命	冠軍	將軍
297	8970	起為	輔國	將軍
298	8987	追贈	龍驤	將軍
299	8991	遷	龍驤	將軍
300	8993	轉	輔國	將軍
301	8999	除	振武	將軍
302	9001	遷	右衞	將軍
303	9006	除	龍驤	將軍
304	9007	加	振威	將軍
305	9007	加	龍驤	將軍
306	9007	除	輔國	將軍
307	9015	轉	寧遠	將軍
308	9016	加	建武	將軍
309	9018	遷	建武	將軍
310	9018	徵為	游擊	將軍
311	9024	轉	太子左積弩	將軍
312	9025	轉	左軍	將軍
313	9031	遷	宣威	將軍
314	9033	加	建武	將軍
315	9035	徵為	游擊	將軍
316	9035	加	輔國	將軍
317	9037	進號	寧朔	將軍
318	9038	徵為	右衞	將軍
319	9038	追贈	冠軍	將軍
320	9040	追贈	征虜	將軍
321	9045	轉	員外	將軍
322	9046	除	宣威	將軍
323	9048	遷	左軍	將軍
324	9049	徵為	游擊	將軍
325	9049	領	驍騎	將軍
326	9049	轉	左衞	將軍
327	9049	進號	征虜	將軍
328	9056	遷	建威	將軍
329	9058	進號	征虜	將軍
330	9058	進號	左	將軍
331	9059	進號	中軍	將軍
332	9064	進號	後	將軍
333	9065	進號	鎮軍	將軍
334	9070	領	左軍	將軍
335	9070	領	驍騎	將軍
336	9070	領	右衞	將軍
337	9070	領	左衞	將軍
338	9074	追贈	右	將軍
339	9077	追贈	車騎	將軍
340	9079	追贈	護軍	將軍
341	9083	徙	左衞	將軍
342	9083	出為	前	將軍
343	9083	兼	領軍	將軍
344	9083	加	撫軍	將軍
345	9087	追贈	後	將軍
346	9089	歷	右衞	將軍
347	9095	進號	輔國	將軍
348	9098	進號	征西	將軍
349	9100	追贈	撫軍	將軍
350	9101	進號	征西大	將軍
351	9103	拜	輔國	將軍
352	9103	加	輔國	將軍
353	9105	進號	前	將軍
354	9119	除	游擊	將軍
355	9119	遷	冠軍	將軍
356	9120	遷	右衞	將軍
357	9120	出為	征虜	將軍
358	9120	領	後軍	將軍
359	9120	遷	右衞	將軍
360	9120	領	左衞	將軍
361	9121	進號	安西	將軍
362	9121	加	遵考鎮西	將軍
363	9121	起為	征虜	將軍
364	9121	除	領軍	將軍
365	9129	遷	驍騎	將軍
366	9131	追贈	征虜	將軍
367	9136	轉	龍驤	將軍
368	9137	起為	輔國	將軍
369	9142	轉	大	將軍
370	9142	領	驍騎	將軍
371	9145	遷	領軍	將軍
372	9151	轉	左衞	將軍
373	9151	領	軍	將軍
374	9174	加	洵建威	將軍
375	9174	加	輔國	將軍
376	9174	追贈	征虜	將軍
377	9181	加	輔國	將軍
378	9182	加	振武	將軍
379	9182	起	為	將軍
380	9183	加	建威	將軍
381	9186	出為	輔國	將軍
382	9201	加	寧朔	將軍
383	9201	轉	右衞	將軍
384	9202	加	冠軍	將軍
385	9203	加	護軍	將軍
386	9214	領	軍	將軍
387	9234	領	寧遠	將軍
388	9235	追贈	前	將軍
389	9240	起	建威	將軍
390	9241	徵為	右衞	將軍
391	9241	除	領軍	將軍
392	9251	加	輔國	將軍
393	9257	出為	寧朔	將軍
394	9258	加	寧朔	將軍
395	9264	徵為	左衞	將軍
396	9312	領	平西	將軍
397	9328	轉	游擊	將軍
398	9328	領	前軍	將軍
399	9332	選	安都為左衞	將軍
400	9341	加	游擊	將軍
401	9344	遷	鎮東	將軍
402	9362	轉	右衞	將軍
403	9365	領	軍	將軍
404	9369	加	宣威	將軍
405	9369	領	冠軍	將軍
406	9393	加	冠軍	將軍
407	9403	領	驍騎	將軍
408	9411	遷	驍騎	將軍
409	9411	加	拜寧朔	將軍
410	9419	加	泰振武	將軍
411	9419	遷	護軍	將軍
412	9442	追贈	車騎	將軍
413	9454	加	驍騎	將軍
414	9474	追贈	左	將軍
415	9490	進號	撫軍	將軍
416	9528	追贈	前	將軍
417	9529	進號	後軍	將軍
418	9529	進號	征南	將軍
419	9529	進號	左	將軍
420	9536	進號	征西大	將軍
421	9540	追贈	冠軍	將軍
422	9545	領	軍	將軍
423	9545	領	平西	將軍
424	9546	補	右	將軍
425	9584	領	鎮西	將軍
426	9585	領	驍騎	將軍
427	9585	轉	右衞	將軍
428	9595	領	右衞	將軍
429	9595	領	驍騎	將軍
430	9603	轉	左衞	將軍
431	9606	起為	領軍	將軍
432	9613	加	建威	將軍
433	9613	領	鎮西	將軍
434	9613	出為	建威	將軍
435	9616	領	右衞	將軍
436	9647	拜	殿中	將軍
437	9659	進號	衞	將軍
438	9682	加	輔國	將軍
439	9682	追贈	征虜	將軍
440	9686	加	道產振武	將軍
441	9687	除	寧遠	將軍
442	9688	徵為	後軍	將軍
443	9688	遷	竟陵王義宣左	將軍
444	9688	進號	輔國	將軍
445	9688	追贈	征虜	將軍
446	9690	遷	揚烈	將軍
447	9694	歷	後軍	將軍
448	9696	加	建武	將軍
449	9697	徵	左軍	將軍
450	9699	出為	輔國	將軍
451	9703	拜	東宮殿中	將軍
452	9703	出為	綏遠	將軍
453	9703	加	寧遠	將軍
454	9703	加	寧朔	將軍
455	9705	進號	輔國	將軍
456	9708	行	建威	將軍
457	9726	領	征西	將軍
458	9726	領	游擊	將軍
459	9732	領	護軍	將軍
460	9841	進號	右	將軍
461	9841	進號	驃騎	將軍
462	9842	領	平北	將軍
463	9843	進位	大	將軍
464	9858	拜	左	將軍
465	9858	進號	中軍	將軍
466	9878	加	寧朔	將軍
467	9878	轉	右衞	將軍
468	9879	遷	輔國	將軍
469	9886	領	鎮西	將軍
470	9887	進號	右	將軍
471	9887	出為	車騎	將軍
472	9888	遷	右衞	將軍
473	9890	領	軍	將軍
474	9890	領	選護軍	將軍
475	9890	領	軍	將軍
476	9899	加	寧朔	將軍
477	9899	遷	左衞	將軍
478	9907	行	護軍	將軍
479	9907	行	左衞	將軍
480	9908	行	護軍	將軍
481	9951	遷	奮威	將軍
482	9951	加	輔國	將軍
483	9951	領	右軍	將軍
484	9951	加	驍騎	將軍
485	9954	遷	冠軍	將軍
486	9954	進號	征虜	將軍
487	9957	出為	前軍	將軍
488	9958	領	護軍	將軍
489	9964	遷	左衞	將軍
490	9965	領	軍	將軍
491	9983	進號	平西	將軍
492	9993	出為	征虜	將軍
493	9993	領	驍騎	將軍
494	9993	加	中軍	將軍
495	9996	進號	衞	將軍
496	9998	進號	左	將軍
497	9999	進號	鎮北	將軍
498	10021	進號	後	將軍
499	10021	領	驍騎	將軍
500	10021	遷	中軍	將軍
501	10021	徵為	護軍	將軍
502	10025	徵為	左衞	將軍
503	10025	進號	中軍	將軍
504	10029	領	右軍	將軍
505	10029	加	號平南	將軍
506	10029	遷	領軍	將軍
507	10047	加	號征虜	將軍
508	10047	領	右軍	將軍
509	10047	領	驍騎	將軍
510	10047	進號	鎮西大	將軍
511	10068	遷	左衞	將軍
512	10068	領	安東	將軍
513	10068	進號	衞	將軍
514	10069	進號	征南	將軍
515	10069	進號	征西大	將軍
516	10081	領	軍	將軍
517	10130	起為	寧朔	將軍
518	10131	遷	寧遠	將軍
519	10141	加	征虜	將軍
520	10144	加	魯弘輔國	將軍
521	10161	進號	平北	將軍
522	10161	進號	鎮北	將軍
523	10171	進號	征虜	將軍
524	10177	領	軍	將軍
525	10177	起為	龍驤	將軍
526	10179	遷	右軍	將軍
527	10182	進號	輔國	將軍
528	10187	追贈	姜產之左軍	將軍
529	10189	除	左衞	將軍
530	10189	進號	鎮軍	將軍
531	10190	進號	安西	將軍
532	10203	除	使持節督郢州司州之義陽諸軍事平西	將軍
533	10203	領	游擊	將軍
534	10203	除	使持節督湘州諸軍事征虜	將軍
535	10203	除	持節督廣交越寧湘州之廣興諸軍事領平越中郎將征虜	將軍
536	10233	加	征虜	將軍
537	10234	加	征虜	將軍
538	10234	補	護軍	將軍
539	10245	遷	左衛	將軍
540	10253	遷	左衛	將軍
541	10254	領	驍騎	將軍
542	10262	起為	右	將軍
543	10274	轉	領軍	將軍
544	10280	除	振武	將軍
545	10283	入為	左衞	將軍
546	10293	遷	平北	將軍
547	10293	轉	領軍	將軍
548	10295	除	車騎	將軍
549	10300	補	江夏王國中軍	將軍
550	10300	遷	殿中	將軍
551	10302	加	元景建威	將軍
552	10302	加	奮武	將軍
553	10310	除	寧朔	將軍
554	10312	加	冠軍	將軍
555	10314	領	左衞	將軍
556	10314	徙	領軍	將軍
557	10316	轉	驃騎	將軍
558	10329	出為	寧遠	將軍
559	10329	領	前軍	將軍
560	10330	遷	右衞	將軍
561	10331	進號	征虜	將軍
562	10332	領	右軍	將軍
563	10332	領	右衞	將軍
564	10340	除	殿中員外	將軍
565	10340	領	軍	將軍
566	10340	轉	正員	將軍
567	10341	加	建威	將軍
568	10350	領	軍	將軍
569	10350	領	軍	將軍
570	10360	起為	建威	將軍
571	10360	起為	冠軍	將軍
572	10361	加	寧朔	將軍
573	10367	追贈	前	將軍
574	10368	轉	宣威	將軍
575	10372	進號	寧朔	將軍
576	10374	領	前軍	將軍
577	10374	領	左衞	將軍
578	10375	遷	護軍	將軍
579	10376	行	建威	將軍
580	10379	追贈	征西	將軍
581	10381	追贈	征虜	將軍
582	10383	行	建威	將軍
583	10390	領	前軍	將軍
584	10390	領	前軍	將軍
585	10391	出為	冠軍	將軍
586	10392	出為	鎮軍	將軍
587	10393	進號	車騎	將軍
588	10394	領	護軍	將軍
589	10394	領	護軍	將軍
590	10403	進號	驃騎	將軍
591	10417	出	攻龍驤	將軍
592	10417	署	輔國	將軍
593	10419	署	平南	將軍
594	10429	遷	冠軍	將軍
595	10429	進號	安南	將軍
596	10429	加	撫軍	將軍
597	10429	出為	撫軍	將軍
598	10429	進號	平南	將軍
599	10429	領	驍騎	將軍
600	10447	進號	左	將軍
601	10449	加	深之寧朔	將軍
602	10449	追贈	深之冠軍	將軍
603	10453	加	征虜	將軍
604	10453	領	前軍	將軍
605	10453	遷	左衞	將軍
606	10460	領	軍	將軍
607	10470	加	撫軍	將軍
608	10470	進號	車騎	將軍
609	10482	進號	右	將軍
610	10483	進號	安東	將軍
611	10489	進號	前	將軍
612	10490	進號	平西	將軍
613	10490	進號	衞	將軍
614	10504	加	征虜	將軍
615	10504	出為	左	將軍
616	10504	遷	中軍	將軍
617	10504	徙	護軍	將軍
618	10509	遷	征虜	將軍
619	10509	遷	左	將軍
620	10514	進號	撫軍	將軍
621	10550	進號	征虜	將軍
622	10551	徵為	右衞	將軍
623	10559	加	五品	將軍
624	10559	加	冠軍	將軍
625	10568	徵為	右衞	將軍
626	10570	加	左軍	將軍
627	10571	追贈	鎮軍	將軍
628	10590	加	嶠冠軍	將軍
629	10638	加	龍驤	將軍
630	10639	加	輔國	將軍
631	10640	召為	遊擊	將軍
632	10640	加	冠軍	將軍
633	10645	加	建武	將軍
634	10645	轉	龍驤	將軍
635	10645	遷	驍騎	將軍
636	10645	遷	左軍	將軍
637	10649	出為	龍驤	將軍
638	10649	追贈	念冠軍	將軍
639	10652	加	寧朔	將軍
640	10652	追贈	征虜	將軍
641	10655	加	寧朔	將軍
642	10655	追贈	輔師	將軍
643	10658	加	輔國	將軍
644	10658	進號	冠軍	將軍
645	10662	領	軍	將軍
646	10664	遷	輔國	將軍
647	10664	遷	前軍	將軍
648	10665	除	右軍	將軍
649	10665	轉	驍騎	將軍
650	10665	兼	左衛	將軍
651	10685	轉	回驍騎	將軍
652	10685	加	輔師	將軍
653	10685	遷	冠軍	將軍
654	10685	進號	征虜	將軍
655	10685	遷	右衞	將軍
656	10686	加	輔國	將軍
657	10687	進號	鎮西	將軍
658	10694	出為	輔師	將軍
659	10694	進號	冠軍	將軍
660	10694	入為	驍騎	將軍
661	10694	加	征虜	將軍
662	10694	追贈	左	將軍
663	10701	版	琬為輔國	將軍
664	10702	加	寧朔	將軍
665	10703	加	征虜	將軍
666	10703	加	琬冠軍	將軍
667	10703	加	輔國	將軍
668	10710	領	軍	將軍
669	10710	加	寧朔	將軍
670	10712	領	軍	將軍
671	10716	加	沖之左衞	將軍
672	10723	召	豫章太守劉衍以為右	將軍
673	10740	除	建武	將軍
674	10740	加	龍驤	將軍
675	10741	領	右軍	將軍
676	10741	出為	冠軍	將軍
677	10741	追贈	前	將軍
678	10746	加	寧朔	將軍
679	10746	加	輔國	將軍
680	10746	領	前軍	將軍
681	10747	領	前軍	將軍
682	10748	加	冠軍	將軍
683	10754	領	軍	將軍
684	10757	加	輔國	將軍
685	10763	加	寧朔	將軍
686	10765	徵為	右衞	將軍
687	10765	加	輔國	將軍
688	10766	加	建威	將軍
689	10772	加	其寧朔	將軍
690	10772	除	休文寧朔	將軍
691	10787	領	軍	將軍
692	10792	遷	左衞	將軍
693	10805	遷	右衞	將軍
694	10810	領	前軍	將軍
695	10810	領	游擊	將軍
696	10810	加	冠軍	將軍
697	10818	加	領左衞	將軍
698	10818	起為	冠軍	將軍
699	10819	進號	鎮南	將軍
700	10829	追贈	車騎	將軍
701	10831	出為	寧朔	將軍
702	10837	除	奮武	將軍
703	10837	入為	積射	將軍
704	10837	加	龍驤	將軍
705	10837	除	寧朔	將軍
706	10844	除	寧遠	將軍
707	10844	行	寧朔	將軍
708	10844	除	勔龍驤	將軍
709	10844	起為	振威	將軍
710	10845	加	寧朔	將軍
711	10845	除	輔國	將軍
712	10846	追贈	冠軍	將軍
713	10846	除	勔右衞	將軍
714	10846	進號	右	將軍
715	10862	進號	冠軍	將軍
716	10876	追贈	冠軍	將軍
717	10896	版	安都為建武	將軍
718	10896	加	建武	將軍
719	10896	加	寧朔	將軍
720	10896	除	右軍	將軍
721	10898	除	左軍	將軍
722	10898	遷	輔國	將軍
723	10901	加	征虜	將軍
724	10902	遷	右衞	將軍
725	10902	進號	安北	將軍
726	10914	追贈	龍驤	將軍
727	10915	追贈	寧朔	將軍
728	10921	出為	寧朔	將軍
729	10921	進號	輔國	將軍
730	10921	進號	征虜	將軍
731	10921	進號	平北	將軍
732	10926	領	右軍	將軍
733	10926	出為	輔國	將軍
734	10926	領	左軍	將軍
735	10926	遷	左衞	將軍
736	10926	徙	右衞	將軍
737	10926	領	驍騎	將軍
738	10931	遷	領軍	將軍
739	10931	選	武衞	將軍
740	10931	加	衞	將軍
741	10934	領	軍	將軍
742	10943	進號	左	將軍
743	10947	進號	前	將軍
744	11018	除	竟陵王國中軍	將軍
745	11027	加	龍驤	將軍
746	11054	加	寧朔	將軍
747	11054	加	鎮之建威	將軍
748	11055	出為	輔國	將軍
749	11058	除	龍驤	將軍
750	11058	進號	冠軍	將軍
751	11058	追贈	右	將軍
752	11060	進號	輔國	將軍
753	11061	追贈	左	將軍
754	11089	進號	寧朔	將軍
755	11210	除	武昌國中軍	將軍
756	11218	加	建武	將軍
757	11223	除	前軍	將軍
758	11226	遷	宣威	將軍
759	11226	加	寧朔	將軍
760	11243	遷	游擊	將軍
761	11253	遷	龍驤	將軍
762	11253	兼	游擊	將軍
763	11253	兼	驍騎	將軍
764	11253	出為	輔師	將軍
765	11253	進號	冠軍	將軍
766	11255	除	寧朔	將軍
767	11255	遷	驍騎	將軍
768	11255	領	右衞	將軍
769	11255	領	驍騎	將軍
770	11259	加	寧朔	將軍
771	11260	追贈	左軍	將軍
772	11265	遷	右軍	將軍
773	11266	召	鎮軍	將軍
774	11269	加	龍驤	將軍
775	11269	遷	後軍	將軍
776	11270	出	運長為寧朔	將軍
777	11289	進號	前	將軍
778	11291	領	軍	將軍
779	11292	加	建武	將軍
780	11304	追贈	前	將軍
781	11309	領	護南蠻校尉征南大	將軍
782	11322	署	安西	將軍
783	11336	領	泰之軍副殿中	將軍
784	11354	領	軍	將軍
785	11354	遷	建武	將軍
786	11378	進號	安西大	將軍
787	11380	進號	征西大	將軍
788	11380	進號	車騎大	將軍
789	11389	行	建武	將軍
790	11390	除	龍跋揚武	將軍
791	11391	加	輔國	將軍
792	11391	除	輔國	將軍
793	11391	追贈	左	將軍
794	11392	拜	龍驤	將軍
795	11457	進號	鎮東大	將軍
796	11457	行	冠軍	將軍
797	11457	行	冠軍	將軍
798	11457	行	征虜	將軍
799	11457	行	征虜	將軍
800	11457	行	輔國	將軍
801	11457	行	龍驤	將軍
802	11457	行	寧朔	將軍
803	11457	行	建武	將軍
804	11460	除	安東	將軍
805	11478	遷	征西	將軍
806	11479	領	軍	將軍
807	11479	署	征西	將軍
808	11479	加	號前	將軍
809	11480	追贈	盛驃騎大	將軍
810	11481	進號	征西	將軍
811	11481	拜	保宗為鎮南	將軍
812	11488	起	文德為輔國	將軍
813	11488	追贈	征虜	將軍
814	11490	進號	征西	將軍
815	11526	領	軍	將軍
816	11527	進號	驃騎	將軍
817	11531	命	冠軍	將軍
818	11534	除	左	將軍
819	11537	進號	驃騎	將軍
820	11541	進號	中軍	將軍
821	11566	加	正寧朔	將軍
822	11566	入為	驃騎大	將軍
823	11566	除	寧朔	將軍
824	11576	加	振武	將軍
825	11585	出為	撫軍	將軍
826	11585	加	揚武	將軍
827	11591	領	平北	將軍
828	11591	加	建武	將軍
829	11591	加	揚武	將軍
830	11592	領	軍	將軍
831	11594	加	建威	將軍
832	11595	領	軍	將軍
833	11595	追贈	征虜	將軍
834	11599	拜	強弩	將軍
835	11599	加	寧朔	將軍
836	11606	遷	宣威	將軍
837	11615	加	建威	將軍
